References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Russian equivalent,CEFR level,Definition in Ukrainian,Definition in English,Definition in Russian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,Yuliia,1,чого доброго VP-Pfv.Fut,,"А то вони, чого доброго, подумають, що ти забув про них. ",,I fear that X; Chances are that X,чего доброго VP-Pfv.Fut,B1,"Конструкція позначає, що промовець вважає можливим/ймовірним, що станеться якaсь неприємнa або небажанa [дія чи ситуація]Event. Зазвичай слот заповнюється дієсловом досконалого вигляду.",This construction indicates that the speaker considers it possible or likely that some unpleasant/undesirable [action or situation]Event will happen. Normally the slot is filled with a perfective verb.,"Конструкция обозначает, что говорящий считает возможным или вероятным, что произойдет какое-либо неприятное или нежелательное [действие или ситуация]Event. Обычно слот заполняется глаголом совершенного вида.","І я побоююсь, що ще, чого доброго, [нашкоджу вашим щирим намірам]Event. (Юрій Коломиєць ""Живоглаз"", 1968)      ","Погано, скажуть, працюєш... Ще, чого доброго, [запропонують відставку]Event... (Микола Олійник ""Дочка Прометея"", 1966)         ","І взагалі, треба швидше збиратись, а то чого доброго [вчителька сама на уроки запізниться]Event. (Галина Гордасевич ""Оповідання"", 1998)        ","Ну, й добре, що за думками сон щез. А то, чого доброго, [ще проспала би свою платформу]Event. (Микола Снаговський ""Хто там стукає у шибку"", 2015)         ","А без підтримки, сама знаєш, як у таких випадках, ще чого доброго [біди накоїть]Event. (Ганна Ткаченко ""Спалені мрії"", 2016)        ","VP, Pfv, Fut",Clause or XP with parentheticals,Parenthetical,not Applicable,"Pronoun, Adjective",,,,,,,,,,Declarative,Colloquial,"чого, доброго",NA,No comment yet,,,,,,,Apprehensive,,,,,,,,,,,,,Booster,,Degree of certainty: Low degree of certainty,,,,,,,,,,,,,Negative,,,,,,,,,,Naming,,,,,,,,,,
,,Yuliia,2,як та/те/ той/то NP,,"Життя, як той цвіт, що землю красить.",,as that X,как та/той/те NP,A2,"Конструкція використовується у порівнянні, щоб конкретизувати, унаочнити певне поняття і підкреслює подібність [одного об'єкта]Comparee з [іншим]Standard за [деякою ознакою]Parameter.","This construction is used in [comparison]Comparison to concretize, clearly demonstrate a certain notion, and emphasizes the similarity of [one object]Comparee with [another]Standard in [some features]Parameter.","Конструкция используется в сравнениях для того, чтобы конкретизировать, наглядно продемонстрировать определенное понятие, и подчеркивает сходство [одного объекта]Comparee с [другим]Standard по [некоторым признакам]Parameter.","[Краса]Comparee її іпочала [в'янути]Parameter, як та [квітка без води]Standart. (Софія Тобілевіч ""Мої стежки і зустрічі"", 1953)      ","Тринадцять літ [без чоловіка]Property, як та [пташка без крил]Standart. (Віталій Петльований ""Сліди на тротуарі"", 1958)     ","Та й [азартний]Parameter же [хлопець]Comparee, як та [іскра]Standart. (Степан Васильченко ""Широкий шлях"", 1927)         ","[Катерина]Comparee [залишилася одна]Parameter, як та [квола ялинка]Standart, що якимось дивом виросла на шпилі гори, підвладна вітрам і блискавицям. (Михайло Івасюк ""Серце не камінь"", 1978)       ","Пас людську худобу і сам був [німий]Parameter, як та [худобина]Standart. Міг говорити, але не хотів. (Галина Пагутяк ""Слуга з Добромиля"", 2006)    ",NP,Connection Construction,Subordinator,Not Applicable,"Conjunction, Pronoun",,,,,,,,,,NA,,"як, та, те",,No comment yet,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,невже (не) VP?,,Невже люди говорять правду?,,is that (not) possible that X,неужели (не) VP?,B2,"Конструкція уживається у питаннях з відтінком сумніву, здивування або недовір'я, яке виражає промовець у зв'язку з деякою [ситуацією]Situation або [діями]Action другого учасника.","The construction is used in interrogative sentence with a hint of doubt, bewilderment or distrust, which the speaker expresses in connection with some [situation]Situation or [action]Action of another participant.","Конструкция используется в вопросах с оттенком сомнения, недоумения или недоверия, которое выражает говорящий в связи с некоторой [ситуацией]Situation или [действиями]Action второго участника.","Невже ми не [можемо вирішити цю проблему]Action? (Стенограми засіднь Верчовної Ради України, 2017)","«Невже [нікого немає]Situation?»—з острахом і передчуттям гіркого розчарування подумала дівчина. (Надія Гербіш ""Теплі історії до кави"", 2012)","Невже [може збутися її заповітна мрія] Action, і вона стане співачкою? (Онлайн-ЗМІ ""Новини Хмельницького ""Є"", 2017)","Тож твоя улюблена пісня, невже [забув]Action? (Роман Іваничук ""Саксаул у пісках"", 2000)","Невже [вам самому не цікаво перевірити його гіпотезу]Situation? (Ірен Роздобудько ""Ранковий прибиральник, 2007"")",VP,Head and Modifier Construction,Discourse Particle,Negation,"Particle, Negation marker",,,,,,,,,,"Interrogative, Exclamatory",,,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,Mirative,,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,, ,4,NP-Nom набиратися (набратися) NP-Gen,,Хлопчик ріс і набирався сил,,gain/get smth,NP-Nom набраться NP-Gen,С1 ,"Конструкція підкреслює здатність знаходити в собі які-небудь [внутрішні сили, якості] Theme.","The construction emphasizes the ability to find some [internal strenght, qualities] Theme in oneself","Конструкция подчеркивает способность найти в себе некие [внутренние силы, качества] Theme","Словом, на наступний день ми півдня просиділи в квартирі, набиралися [сил]Theme. (Онлайн-ЗМІ ""ПРОЧЕРК.інфо"", 2011). 380","Це нове покоління студентів Острозької академії, яке зараз тільки набирається [знань] Theme і формує своє бачення світу (Газета ""День"", 2010)","Тут дорослі стають допитливими дітлахами, а малюки набираються [розуму] Theme. (Інтернет-газета ""Український тиждень"", 2009) 280","І дійсно, молодіжні центри могли би стати тими осередками, через які молода людина могла би набиратися [досвіду, знань, вмінь] Theme і досягати успіху. (Стенограми  засідань Верховної Ради України)","І щоб учні не били байдики, набиралися [хисту] Theme. (Мирослав Дочинець ""Криничар. Діяріюш найбагатшого чоловіка Мукачівської домінії"", 2012)",NP,Predicate Argument Construction,Verb Predicate,Not Applicable,Verb,,,,,,,,,,Declarative,Colloquial,набирати (набрати),"сил, досвіду, знань, розуму, навиків, надхнення",,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,,5,"з огляду на NP-Acc, Cl",,"Він не став цього робити, з огляду на банальність ситуації.",,in view of X; taking into consideration that X,"Учитывая NP-Acc, Cl",B1,"Конструкція вказує на [причину] Cause виникнення деякої [ситуації] Situation, підкреслює взаємну залежність двох ситуацій ",This construction indicates that a certain [situation]Situation takes place due to another [situation]Cause; it emphasizes the mutual dependence of two situations.,"Конструкция указывает на [причину]Cause возникновения некоторой [ситуации]Situation, подчеркивает взаимную зависимость двух ситуаций.","Проте, з огляду на [затримки з державним фінансуванням]Cause, [строки здачі цих робіт відтерміновуються]Situation. (Газета ""День"", 2010)","З огляду на [те, що Петро весь час гарячкував]Cause, [Кіндрат не хотів повідомляти Мабель]Situation.  (Володимир Винниченко ""Нова заповідь"", 2012","Однак з огляду на [різке погіршення здоров'я підозрюваного]Cause, [його госпіталізували в кардіологічне відділення]Situation. (Онлайн-ЗМІ ""LV-ua"", 2012)","- Хотіли провідати, - [неголосно сказав брат]Situation, очевидно, з огляду на [сплячого в кімнаті]Causer. (Валерій Шевчук ""Привид мертвого дому"", 2005)","З огляду на те,[що випускників у країні під 200 тисяч]Cause, [це чималий контингент]Situation. (Журнал ""НВ"", 2020)","NP-Acc, Cl",Connection Construction,Subordinator,Multiword Conjunction,"Preposition, Conjunction",,,,,,,,,,Declarative,,з огляду на,NA,,,,,,,,,,,,,,Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,начебто/неначе XP/Cl,,Про мене начебто забули,,apparently; it seems ,вроде бы XP/Cl,B2,"Конструкція вживається для вираження неповної достовірності, сумніву, непевності мовця щодо [інформації]Evaluation, що повідомляється. Це повідомлення звучить як припущення.",This construction is used to express lack of certainty of the speaker about the [information]Evaluation reported. This statement sounds like a guess. The speaker is expressing a suspicion about [information]Evaluation.,"Конструкция используется для выражения неполной достоверности, сомнения, неуверенности говорящего относительно сообщаемой им [информацией]Evaluation. Сообщение говорящего звучит как предположение. ","Начебто [відбулося це в одному з львівських ресторанів наприкінці квітня]Evaluation. (Онлайн-ЗМІ «Zaxid.net», 2009)        ","Один тільки раз я побачив із своєї схованки, як пройшла повз мене якась людина, начебто [трохи знайома мені]Evaluation. (Леонід Смілянський ""Сашко"", 1950) ","Також є інформація про ще одного пораненого поліцейського, який начебто [постраждав від кулі]Theme, випущеної колегою. (Онлайн-ЗМІ «UNIAN.NET», 2016) ","Номер був прибраний, та справді після нього начебто [ніхто не жив]Evaluation. (Мирон Володін ""Паперові іграшки"", 2005)    ","Я йду, і з кожним кроком у мене всередині все начебто [зав'язується в солоний мокрий вузол]Evaluation. (Ада Самарка ""Смак заборони"", 2003)        ",XP/Cl,Clause or XP with parentheticals,Parenthetical,Not Applicable,Particle ??,,,,,,,,,,Declarative,Colloquial,"начебто, неначе",NA,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,XP/Cl ніби/начебто XP/Cl,,"По обличчю Олексія промайнуло, начебто тінь, незадоволення. ",,"X like Y, as if",XP/Cl будто/словно XP/Cl,В2,"Конструкція виражає порівняння і підкреслює подібність [одного об'єкта]Comparee з [іншим]Standard за [деякою ознакою]Parameter. Об'єктами може бути предмети, учасники ситуації чи цілі ситуації. Порівняння відбувається з гіпотетичним об'єктом чи ситуацією.","The construction expresses a comparison and emphasizes the similarity of [one object]Comparee with [another]Standard in [some attribute]Parameter. Objects can be objects, participants in a situation, or entire situations. The comparison takes place with a hypothetical object or situation.","Конструкция выражает сравнение и подчеркивает сходство [одного объекта]Comparee с [другим]Standard по [некоторому признаку]Parameter. Объектами могут быть предметы, участники ситуации или целые ситуации. Сравнение происходит с гипотетическим объектом или ситуацией.","Коли світить сонце, [мені завжди починає здаватися]Comparee, ніби [я ще вчора сам був студентом]Standart. (Наталка Сняданко ""Колекція Пристрастей"", 2001) ","Заговорюєш до неї, воно й відповідає, але [дивиться на тебе здалеку]Comparee, наче [в трубу]Standart. І так [здивовано щораз]Comparee, ніби [вперше бачить]Standart. (Тамара Горіха Зерня ""Доця"", 2018)  ","За декілька секунд до голосування він [озирається назад]Comparee, ніби [шукає свого відсутнього колегу]Standart. (Онлайн-ЗМІ «UNIAN.NET», 2019)     ","Не їли, [смоктали хліб]Comparee, ніби [дорогі цукерки]Standart. (Борис Харчук ""Волинь"", 1988)    ","«Я б описала це [відчуття]Comparee так: начебто [шматок скла застряг у вас в горлі або легких]Standart. Було дуже боляче. (Журнал «НВ», 2020)",XP/Cl,Connection Construction,Subordinator,Not Applicable,Conjunction,,,,,,,,,,Declarative,Colloquial,"начебто, ніби",,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,VP унаслідок NP-Gen,,Унаслідок події постраждали кілька пасажирів.,,X as a result of Y,VP в результате NP-Gen,В1,"Конструкція вживається при вказівці на причину того, що якась [дія]Action або [подія]Event призводить до [певної ситуації]Result.",The construction is used when indicating the reason that any [action]Action or [event]Event leads to [a certain situation]Result.,"Конструкция используется при указании на причину того, что какое-либо [действие]Action или [событие]Event приводит к [определенной ситуации]Result.","Боксер не уточнив, чи [отримав він травми]Result унаслідок [бійки з підлітками]Action. (Онлайн-ЗМІ «Громадське телебачення», 2019)   ","Унаслідок [ворожих обстрілів]Event [поранень зазнали двоє українських захисників]Result. (Онлайн-ЗМІ «UNIAN.NET», 2018)","Більшість тих, хто внаслідок [падіння]Action [отримав перелом]Result, – це люди старшого віку. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2017)","Внаслідок [інциденту]Event [мільйони яєць прибрали із полиць супермаркетів]Result у низці країн ЄС.  (Журнал «НВ», 2017)       ","Унаслідок [ДТП]Event [пасажирка мотоцикла отримала тілесні ушкодження]Result та доставлена до медичного закладу. (Онлайн-ЗМІ ""Полтавщина"", 2021)      ","VP, NP-Gen",Head and Modifier Construction,Modifier ,Nominal Pattern,Preposition,,,,,,,,,,Not applicable,Formal,унаслідок,,,,,,,,,,,,,,,Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achieved Result,,,,,,,,,,,,,
,,,9,"теж мені NP-Nom, Cl!",,Теж мені помічник!,,a false X/ a pseudo X,тоже мне NP-Nom!,В2,"Конструкція вживається для вираження несхвального, іронічного або негативного ставлення до кого/чого-небудь ([объект]Theme, [участник]Participant или [ситуація]Situation) ","The construction is used to express a disapproving, ironic or negative attitude towards someone ([object]Theme, [participant]Participant or [situation]Situation)","Конструкция используется для выражения неодобрительного, иронического или отрицательного отношения к кому-либо ([объект]Theme, [участник]Participant или [ситуация]Situation)","А коли я вже було зважився ознайомити тебе з деякими деталями, то ти послався на свою зайнятість.Теж мені [керівник]Participant... (Олег Романчук""Зоряний кристал"", 1986)","Люди в космос літають, а тут шину на ходу пробити — теж мені [проблема]Theme. (Віктор Тимченко""Ключ від чужого замка"", 1988)","Мартинюк був обурений. Проглядав аркуші паперу, списані чітким почерком, відсував од себе і знову перечитував. — Теж мені [науковці знайшлися]Participant? (Микола Зарудний""Гілея"", 1979)","Перша моя реакція — обурення: теж мені, [знайшли місце екстремального туризму]Situation. Проте дуже швидко поміняв думку й погодився: все правильно. (Онлайн-ЗМІ ""Детектор медія"", 2022)","Я програв Накладному вже в той момент, коли почав сперечатися і щось доводити. Теж мені [Цицерон]Participant. (Антон Санченко ""Земля Георгія"", 2006)","NP-Nom, Cl",Clause,Modifier,Not Applicable,"Particle, Pronoun",,,,,,,,,,Exclamatory,Colloqual,"теж, мені",NA,,,,,,,,,"General assessment, Assessment in relation to norms/expectations",,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,
,,,10,"оце так NP-Nom, Verb, Cop: (Cl)! ",,Оце так диво!,,what a X,вот так NP-Nom Cop: (Cl)! ,A1,"Конструкція вживається зі значенням оцінкі реалії ([обʼєкт]Theme, [учасник]Participant или [подія]Event) мовцем, або зі значенням параметрів реалії. Чи є оцінка позитивною чи негативною, зазвичай стає зрозуміло тільки з контексту.","The construction expresses the speakerʼs evaluation of the realia ( [object]Theme, [participant]Participant, or [event]Event) or realia parameter value. Whether the evaluation is positive or negative is usually given by the context. ","Конструкция используется со значением оценки реалии ([объект]Theme, [участник]Participant или [событие]Event) говорящим, или со значением параметров реалии. Является ли оценка положительной или отрицательной, обычно становится понятно только из контекста.","Оце так [подарунок]Theme, найкращий за всі подарунки на світі! (Анатолій Костецький ""Все - як насправді"", 1948)","- Оце так [костюм]Theme! А чому він чорний? Не могли пофарбувати в різні кольори? (Василь Головачов ""Простір неспокою"", 1985)","- Оце так [гість]Participant!..Сьогодні в нас самі несподіванки... (Михайло Слабошпицький ""Не повернулися з двадцятого століття"", 1979)","Оце так [ускочив у халепу]Situation! (Олег Авраменко ""Син Сутінків і Світла"", 1967)","Оце так [було постелено]Situation, побачимо, як буде спатися... (Володимир Чос""Історіа Христуанства в Україні"", 1971)","NP-Nom, Verb, Cop: (Cl)",Copula construction,Praedicative Expression,Not applicable,"Particle, Pronoun",,,,,,,,,,Exclamatory,Colloquial,"оце, так",,,,,,,,,,Assessment in relation to quantification,,,,,,,,,,,,,,,,,,,,,Mirative,,,,,,Both Negative and Positive,,,,,,,,,,,,,,,,,,,,
